heading,level,bio,offset,label
### || الباب الأول من الجزء الرابع,2,False,44058,
### || [154\77] الباب الثاني من الجزء الرابع,2,False,49242,
### || الباب الثالث من الجزء الرابع,2,False,49947,
### || الباب الرابع من الجزء الرابع,2,False,50447,
### || الباب الخامس من الجزء الرابع,2,False,51693,
### || الباب السادس من الجزء الرابع,2,False,52112,
### || الباب السابع من الجزء الرابع,2,False,52851,
### || الباب الثامن من الجزء الرابع,2,False,53686,
### || الباب التاسع من الجزء الرابع,2,False,54451,
### || الباب العاشر من الجزء الرابع,2,False,54810,
### | وهذا ابتداء الجزء الخامس فيه الأخبار من وقت خراب قرطاجنة إلى وقت انقضاء حروب الرومانيين التي قيل لها الحروب الجوانية وهو مقسوم على عشرة أبواب,1,False,55950,
### || الباب الأول من الجزء الخامس,2,False,55975,
### || الباب الثاني من الجزء الخامس,2,False,58305,
### || الباب الثالث من الجزء الخامس,2,False,59542,
### || الباب الرابع من الجزء الخامس,2,False,59884,
### || الباب الخامس من الجزء الخامس,2,False,60642,
### || الباب السادس من الجزء الخامس,2,False,63126,
### || الباب السابع من الجزء الخامس,2,False,63349,
### || الباب الثامن من الجزء الخامس,2,False,63653,
### || الباب التاسع من الجزء الخامس,2,False,63863,
### || الباب العاشر من الجزء الخامس,2,False,64043,
### | الجزء السادس فيه خطبة هروشيوش ووصف أخبار الرومانيين من وقت انقضاء حروبهم التي سموها الحروب الجوانية إلى وقت انفراد يوليش قيصر بالملك ورجوع سلطان الرومانيين إلى الأملاك الذين قيل لهم القياصرة وفيه من الأبواب ستة,1,False,67606,
### || الباب الأول من الجزء السادس,2,False,67659,
### || الباب الثاني من الجزء السادس,2,False,68386,
### || الباب الثالث من الجزء السادس,2,False,70332,
### || الباب الرابع من الجزء السادس,2,False,72972,
### || الباب الخامس من الجزء السادس,2,False,74019,
### || [225\116] الباب السادس من الجزء السادس,2,False,74429,
### | الجزء السابع فيه أخبار أملاك الرومانيين القياصرة من زمان قيصر اكتبيان الذي في دولته ولد المسيح إلى الزمان الذي كتب فيه هذا الكتاب وما أضيف إليه من بعد من دول القوط بالأندلس إلى دخول طارق عليهم أبوابه أربعة عشر,1,False,74869,
### || الباب الأول من الجزء السابع,2,False,74908,
### || الباب الثاني من الجزء السابع,2,False,75089,
### || [228\117] الباب الثالث من الجزء السابع,2,False,75506,
### || [229\118] الباب الرابع من الجزء السابع,2,False,75858,
### || [231\119] الباب الخامس من الجزء السابع,2,False,76531,
### || الباب السادس من الجزء السابع,2,False,76930,
### || الباب السابع من الجزء السابع,2,False,77758,
### || الباب الثامن من الجزء السابع,2,False,78610,
### || الباب التاسع من الجزء السابع,2,False,78809,
### || الباب العاشر من الجزء السابع,2,False,79567,
### || الباب الحادي عشر من الجزء السابع,2,False,80047,
### || الباب الثاني عشر من الجزء السابع,2,False,80592,
### || الباب الثالث عشر من الجزء السابع,2,False,82508,
