start_offset,end_offset,book2,ms2
23108,23205,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2159
59376,59400,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
41101,41131,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,347
82801,82923,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,608
39300,39591,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,345
11778,11973,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2153
42647,42832,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
12630,12661,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,327
59400,59467,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
50400,50584,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
63090,63221,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
39755,39900,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
6904,7034,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,120
44100,44135,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
44038,44100,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
42429,42542,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,352
55853,55880,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
42102,42290,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,352
5138,5301,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,19
6648,6760,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,120
3325,3492,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,28
15058,15243,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,328
38309,38400,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
22933,23100,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2159
5400,5548,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,20
39188,39271,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,345
40029,40078,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,347
36905,37132,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
79322,79423,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,1431
22800,22902,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2158
38408,38548,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
39900,40029,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
39600,39744,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
