version_uri	date	author	author_ar	book	title	title_ar	ed_info	id	status	tok_length	local_path	tags	tags_ar	char_length
0001MuhalhilIbnRabica.Diwan.JK007529-ara1	1	Muhalhil Ibn Rabica	مهلهل بن ربيعة	0001MuhalhilIbnRabica.Diwan	Diwan	ديوان مهلهل بن ربيعة		JK007529	pri	3525	data/0001MuhalhilIbnRabica/0001MuhalhilIbnRabica.Diwan/0001MuhalhilIbnRabica.Diwan.JK007529-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	14072
0001MuthaqqibCabdi.Diwan.JK007510-ara1	1	Muthaqqib Cabdi	المثقب العبدي	0001MuthaqqibCabdi.Diwan	Diwan	ديوان المثقب العبدي		JK007510	pri	1468	data/0001MuthaqqibCabdi/0001MuthaqqibCabdi.Diwan/0001MuthaqqibCabdi.Diwan.JK007510-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	6314
0001NabighaDhubyani.Diwan.JK007511-ara1	1	Nabigha Dhubyani	النابغة الذبياني	0001NabighaDhubyani.Diwan	Diwan	ديوان النابغة الذبياني		JK007511	pri	6935	data/0001NabighaDhubyani/0001NabighaDhubyani.Diwan/0001NabighaDhubyani.Diwan.JK007511-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	28594
0001QaysIbnKhatim.Diwan.JK007527-ara1	1	Qays Ibn Khatim	قيس بن الخطيم	0001QaysIbnKhatim.Diwan	Diwan	ديوان قيس بن الخطيم		JK007527	pri	3083	data/0001QaysIbnKhatim/0001QaysIbnKhatim.Diwan/0001QaysIbnKhatim.Diwan.JK007527-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	13034
0001SalamaIbnJandal.Diwan.JK007517-ara1	1	Salama Ibn Jandal	سلامة بن جندل	0001SalamaIbnJandal.Diwan	Diwan	ديوان سلامة بن جندل		JK007517	pri	2047	data/0001SalamaIbnJandal/0001SalamaIbnJandal.Diwan/0001SalamaIbnJandal.Diwan.JK007517-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	8661
0001SamawalIbnCadiya.Diwan.JK007508-ara1	1	Samawal Ibn Cadiya	السموأل	0001SamawalIbnCadiya.Diwan	Diwan	ديوان السموأل		JK007508	pri	987	data/0001SamawalIbnCadiya/0001SamawalIbnCadiya.Diwan/0001SamawalIbnCadiya.Diwan.JK007508-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@jews;GAL@literature-national;GAL@period-preislamic;GAL@christians;GAL@poetry;GAL@literature-arabic	جاهلي :: دواوين الشعر العربي	3896
0001Shanfara.Diwan.JK007509-ara1	1	Shanfara	الشنفرى	0001Shanfara.Diwan	Diwan	ديوان الشنفرى		JK007509	pri	703	data/0001Shanfara/0001Shanfara.Diwan/0001Shanfara.Diwan.JK007509-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	2933
0001SulaykIbnSulaka.Diwan.JK007507-ara1	1	Sulayk Ibn Sulaka	السليك بن عمرو	0001SulaykIbnSulaka.Diwan	Diwan	ديوان السليك بن عمرو		JK007507	pri	119	data/0001SulaykIbnSulaka/0001SulaykIbnSulaka.Diwan/0001SulaykIbnSulaka.Diwan.JK007507-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	511
0001TaabbataSharran.Diwan.JK007513-ara1	1	Taabbata Sharran	ثابت بن جابر	0001TaabbataSharran.Diwan	Diwan	ديوان ثابت بن جابر		JK007513	pri	3145	data/0001TaabbataSharran/0001TaabbataSharran.Diwan/0001TaabbataSharran.Diwan.JK007513-ara1	_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	12750
0001TarafaIbnCabd.Diwan.JK007518-ara1	1	Tarafa Ibn Cabd	طرفة بن العبد	0001TarafaIbnCabd.Diwan	Diwan	ديوان طرفة بن العبد		JK007518	sec	4161	data/0001TarafaIbnCabd/0001TarafaIbnCabd.Diwan/0001TarafaIbnCabd.Diwan.JK007518-ara1	CENT0100;_ADAB;_BALAGHA;_SHICR_JAHILI;_SHICR;GAL@period-premuhammad;GAL@literature-arabic;GAL@literature-national	جاهلي :: دواوين الشعر العربي	17198
