version_uri	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	local_path	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	char_length
1313CorneliusVanDyck.CahdQadimWaJadid.BibleCorpus001-ara1	1313		Cornelius Van Dyck	1313CorneliusVanDyck.CahdQadimWaJadid	العهد القديم والجديد ::	al-ʿahd al-qadīm wa-al-jadīd ::	http://www.worldcat.org/oclc/945484558	BibleCorpus001	pri	435315	../data/1313CorneliusVanDyck/1313CorneliusVanDyck.CahdQadimWaJadid/1313CorneliusVanDyck.CahdQadimWaJadid.BibleCorpus001-ara1.completed	COMPLETED ::  :: Christianity ::  مسيحية ::  Scripture ::  الكتاب المقدس :: NO_MAJOR_ISSUES :: BibleCorpus@Christianity; مسيحية	Cornelius Van Dyck			1877442
0595IbnRushdHafid.MaqalaFiBudhur.DARE00016-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.MaqalaFiBudhur		Maqala Fi Budhur		DARE00016	pri	1145	../data/0595IbnRushdHafid/0595IbnRushdHafid.MaqalaFiBudhur/0595IbnRushdHafid.MaqalaFiBudhur.DARE00016-ara1	:: DARE@Philosophy_of_Nature	Ibn Rushd Hafid			4548
0595IbnRushdHafid.MaqalaCalaSamacLiAristu.DARE00017-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.MaqalaCalaSamacLiAristu		Maqala Cala Samac Li Aristu		DARE00017	pri	4679	../data/0595IbnRushdHafid/0595IbnRushdHafid.MaqalaCalaSamacLiAristu/0595IbnRushdHafid.MaqalaCalaSamacLiAristu.DARE00017-ara1	:: DARE@Philosophy_of_Nature	Ibn Rushd Hafid			18683
0595IbnRushdHafid.TalkhisCibara.DARE00018-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TalkhisCibara		Talkhis Cibara		DARE00018	pri	12843	../data/0595IbnRushdHafid/0595IbnRushdHafid.TalkhisCibara/0595IbnRushdHafid.TalkhisCibara.DARE00018-ara1	:: DARE@Logic	Ibn Rushd Hafid			53387
0595IbnRushdHafid.TalkhisKawnWaFasad.DARE00021-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TalkhisKawnWaFasad		Talkhis Kawn Wa Fasad		DARE00021	pri	26125	../data/0595IbnRushdHafid/0595IbnRushdHafid.TalkhisKawnWaFasad/0595IbnRushdHafid.TalkhisKawnWaFasad.DARE00021-ara1	:: DARE@Philosophy_of_Nature	Ibn Rushd Hafid			109530
0595IbnRushdHafid.SharhMaBacdTabica.DARE00024-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.SharhMaBacdTabica		Sharh Ma Bacd Tabica		DARE00024	pri	283986	../data/0595IbnRushdHafid/0595IbnRushdHafid.SharhMaBacdTabica/0595IbnRushdHafid.SharhMaBacdTabica.DARE00024-ara1	:: DARE@Metaphysics	Ibn Rushd Hafid			1159411
0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TahafudTahafud		Tahafud Tahafud		DARE00025	pri	106150	../data/0595IbnRushdHafid/0595IbnRushdHafid.TahafudTahafud/0595IbnRushdHafid.TahafudTahafud.DARE00025-ara1	:: DARE@Law_and_Theology	Ibn Rushd Hafid			439731
0595IbnRushdHafid.SharhBurhan.DARE00027-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.SharhBurhan		Sharh Burhan		DARE00027	pri	85363	../data/0595IbnRushdHafid/0595IbnRushdHafid.SharhBurhan/0595IbnRushdHafid.SharhBurhan.DARE00027-ara1	:: DARE@Logic	Ibn Rushd Hafid			351618
0625AbuMuhammadIbnRushd.HalYattasilBiCaql.DARE00101-ara1	625		Abu Muhammad Ibn Rushd	0625AbuMuhammadIbnRushd.HalYattasilBiCaql		Hal Yattasil Bi Caql		DARE00101	pri	1603	../data/0625AbuMuhammadIbnRushd/0625AbuMuhammadIbnRushd.HalYattasilBiCaql/0625AbuMuhammadIbnRushd.HalYattasilBiCaql.DARE00101-ara1	:: DARE@Psychology	Abu Muhammad Ibn Rushd			6681
0595IbnRushdHafid.TalkhisQiyas.DARE00107-ara1	595		Ibn Rushd Hafid	0595IbnRushdHafid.TalkhisQiyas		Talkhis Qiyas		DARE00107	pri	57813	../data/0595IbnRushdHafid/0595IbnRushdHafid.TalkhisQiyas/0595IbnRushdHafid.TalkhisQiyas.DARE00107-ara1	:: DARE@Logic	Ibn Rushd Hafid			232858
