version_uri	date	author_ar	author_lat	book	title_ar	title_lat	ed_info	id	status	tok_length	local_path	tags	author_from_uri	author_lat_shuhra	author_lat_full_name	char_length
0001AbuTalibCabdManaf.Diwan.JK007501-ara1	0001	أبو طالب	Abu Talib Cabd Manaf	0001AbuTalibCabdManaf.Diwan	ديوان أبو طالب	Diwan		JK007501	pri	5743	../data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.JK007501-ara1	_SHICR_JAHILI :: _SHICR :: GAL@literature-arabic :: GAL@literature-national :: GAL@period-muhammad :: GAL@pseudo-calid :: RECONSTRUCTED_TEXT :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Abu Talib Cabd Manaf			23656
0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1	0001	أبو طالب بن عبد المطلب :: أبو طالب	Abu Talib Cabd Manaf	0001AbuTalibCabdManaf.Diwan	ديوان أبي طالب :: ديوان أبي طالب 	Diwan		ShamAY0037822	sec	5740	../data/0001AbuTalibCabdManaf/0001AbuTalibCabdManaf.Diwan/0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1	 :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Abu Talib Cabd Manaf			23656
0001AwsIbnHajar.Diwan.JK007502-ara1	0001	أوس بن حجر	Aws Ibn Hajar	0001AwsIbnHajar.Diwan	ديوان أوس بن حجر	Diwan		JK007502	pri	5215	../data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.JK007502-ara1	_SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: GAL@literature-arabic :: GAL@literature-national :: RECONSTRUCTED_TEXT :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Aws Ibn Hajar			21791
0001AwsIbnHajar.Diwan.ShamAY0037914-ara1	0001	أوس بن حجر بن مالك التميمي أبو شريح :: أوس بن حجر	Aws Ibn Hajar	0001AwsIbnHajar.Diwan	ديوان أوس بن حجر	Diwan		ShamAY0037914	sec	5212	../data/0001AwsIbnHajar/0001AwsIbnHajar.Diwan/0001AwsIbnHajar.Diwan.ShamAY0037914-ara1	 :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Aws Ibn Hajar			21791
0001CalqamaFahl.Diwan.JK007522-ara1	0001	علقمة الفحل	Calqama Fahl	0001CalqamaFahl.Diwan	ديوان علقمة الفحل	Diwan		JK007522	sec	2089	../data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.JK007522-ara1	_SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: GAL@literature-arabic :: GAL@literature-national :: RECONSTRUCTED_TEXT :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Calqama Fahl			8860
0001CalqamaFahl.Diwan.ShamAY0037936-ara1	0001	علقمة الفحل :: علقمة بن عبدة بن ناشرة بن قيس، من بني تميم	Calqama Fahl	0001CalqamaFahl.Diwan	ديوان علقمة الفحل  :: ديوان علقمة الفحل	Diwan		ShamAY0037936	pri	2089	../data/0001CalqamaFahl/0001CalqamaFahl.Diwan/0001CalqamaFahl.Diwan.ShamAY0037936-ara1	 :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Calqama Fahl			8860
0001CamrIbnKulthum.Diwan.JK007524-ara1	0001	عمرو بن كلثوم	Camr Ibn Kulthum	0001CamrIbnKulthum.Diwan	ديوان عمرو بن كلثوم	Diwan		JK007524	pri	67	../data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.JK007524-ara1	_SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: GAL@literature-arabic :: GAL@literature-national :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Camr Ibn Kulthum			288
0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1	0001	عمرو بن كلثوم بن مالك بن عتاب، أبو الأسود، من بني تغلب المتوفى سنة :: عمرو بن كلثوم	Camr Ibn Kulthum	0001CamrIbnKulthum.Diwan	ديوان عمرو بن كلثوم  :: ديوان عمرو بن كلثوم	Diwan		ShamAY0037904	sec	66	../data/0001CamrIbnKulthum/0001CamrIbnKulthum.Diwan/0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1	 :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Camr Ibn Kulthum			288
0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1	0001	عمرو بن كلثوم	Camr Ibn Kulthum	0001CamrIbnKulthum.Mucallaqa	معلقة عمرو بن كلثوم	Mucallaqa		ShamAY0038526	pri	871	../data/0001CamrIbnKulthum/0001CamrIbnKulthum.Mucallaqa/0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1	 :: ShamAY@الدواوين الشعرية - مرقم آليا :: born@JaziratArab_RE	Camr Ibn Kulthum			3885
0001CamrIbnMalik.Diwan.JK007525-ara1	0001	عمرو بن مالك	Camr Ibn Malik	0001CamrIbnMalik.Diwan	ديوان عمرو بن مالك	Diwan		JK007525	pri	1461	../data/0001CamrIbnMalik/0001CamrIbnMalik.Diwan/0001CamrIbnMalik.Diwan.JK007525-ara1	_SHICR_JAHILI :: _SHICR :: GAL@period-premuhammad :: GAL@literature-arabic :: GAL@literature-national :: JK@جاهلي :: JK@دواوين الشعر العربي :: born@JaziratArab_RE	Camr Ibn Malik			5944
