start_offset,end_offset,book2,ms2
216330,217624,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2231
155003,155725,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2213
112393,113464,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2803
56354,57471,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2635
157731,159314,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
156362,157774,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2215
412930,414039,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2927
212391,213996,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2230
210782,211971,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2229
217150,218735,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2232
213998,214941,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2226
112886,113668,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
209333,210030,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2223
247938,249543,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,787
248618,249040,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,787
48179,49337,0900IbnCabdMuncimHimyari.RawdMictar.Shamela0001043-ara1.mARkdown,615
30226,30917,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,4
28748,30215,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,3
36709,37265,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
38361,39131,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
17837,19464,0930IbnIyas.NuzhatUmam.Masaha004846-ara1,58
342228,342589,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
122898,123447,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2159
320797,322431,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
220421,220604,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,347
448246,448886,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,608
210783,212336,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,345
64071,65538,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2153
229184,230433,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
68659,69001,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,327
320923,321270,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
271378,272413,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
341078,342310,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,354
213194,214800,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
38097,38823,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,120
237143,237357,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
236787,238477,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
227888,229342,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,352
301432,301881,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,353
226074,227700,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,352
28354,29492,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,19
36729,37598,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,120
18247,19279,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,28
81262,82579,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,328
205303,206932,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
121978,123494,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2159
29836,30664,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,20
210184,211676,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,345
214647,215540,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,347
197632,198893,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
429413,430611,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,1431
121342,121834,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,2158
205840,206655,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,344
213998,214647,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
212391,213124,0845Maqrizi.Mawaciz.Shamela0011566-ara1.mARkdown,346
