start_offset,end_offset,book2,ms2
430285,431886,0487AbuCubaydBakri.MasalikWaMamalik.Shamela0023849-ara1.mARkdown,176
237375,238744,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,2
181253,182220,0845Maqrizi.IghathaUmma.Kraken210223142017-ara1,3
210282,211936,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2229
161107,161280,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
172700,172961,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2220
129821,131231,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2426
210096,211717,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
109072,109905,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2781
237143,237272,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2469
112952,114368,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2796
110569,111733,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2794
210782,211770,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2224
159736,161321,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2217
162746,162932,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
150933,152516,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,335
161280,162916,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2218
157814,159517,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
118388,119205,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2424
209376,210403,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2228
52916,54126,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2610
154669,155041,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2212
116099,117610,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2857
212391,213949,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2225
53770,55346,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2611
112167,112890,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
159521,159737,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2216
48314,49592,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,331
162990,164636,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2219
214074,214861,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2231
68956,70259,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2195
111851,113424,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2795
55255,56752,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2612
143943,145410,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,335
195088,196331,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2220
54149,55266,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2611
155409,156863,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2215
218748,220406,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2233
131419,132755,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2413
113151,114673,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2409
205816,206305,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2228
197633,198155,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2227
211971,213556,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2230
211770,213377,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2225
111421,112994,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2802
127163,128730,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2426
115320,116147,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2856
111305,112271,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2802
156339,156854,0845Maqrizi.KhabarCanBashar.MMS00013-ara1,2213
