heading,level,bio,offset,label
### || الباب الثامن من الجزء الثاني,2,False,165446,
### || الباب التاسع من الجزء الثاني,2,False,168226,
### || الباب العاشر من الجزء الثاني,2,False,179495,
### | الجزء الثالث فيه وصف الأخبار والحروب والأعمار من وقت غلبة الغاللين على رومة إلى انقضاء خبر الإسكندر وتفرق قواده بعده وهو مقسوم على عشرة أبواب,1,False,183739,
### || [110\52] الباب الأول من الجزء الثالث,2,False,183881,
### || الباب الثاني من الجزء الثالث,2,False,191673,
### || الباب الثالث من الجزء الثالث,2,False,194866,
### || [118\59] الباب الرابع من الجزء الثالث,2,False,197574,
### || الباب الخامس من الجزء الثالث,2,False,207324,
### || الباب السادس من الجزء الثالث,2,False,209149,
### || الباب السابع من الجزء الثالث,2,False,215423,
### || الباب الثامن من الجزء الثالث,2,False,221873,
### || الباب التاسع من الجزء الثالث,2,False,226295,
### || الباب العاشر من الجزء الثالث,2,False,232277,
### | الجزء الرابع فيه الأخبار من وقت انقضاء حروب قواد الإسكندر إلى وقت خراب مدينة قرطاجنة بإفريقية وهو مقسوم على عشرة أبواب,1,False,236490,
### || الباب الأول من الجزء الرابع,2,False,236609,
### || [154\77] الباب الثاني من الجزء الرابع,2,False,264808,
### || الباب الثالث من الجزء الرابع,2,False,268568,
### || الباب الرابع من الجزء الرابع,2,False,271326,
### || الباب الخامس من الجزء الرابع,2,False,278074,
### || الباب السادس من الجزء الرابع,2,False,280430,
### || الباب السابع من الجزء الرابع,2,False,284525,
### || الباب الثامن من الجزء الرابع,2,False,289155,
### || الباب التاسع من الجزء الرابع,2,False,293297,
### || الباب العاشر من الجزء الرابع,2,False,295231,
### | وهذا ابتداء الجزء الخامس فيه الأخبار من وقت خراب قرطاجنة إلى وقت انقضاء حروب الرومانيين التي قيل لها الحروب الجوانية وهو مقسوم على عشرة أبواب,1,False,301598,
### || الباب الأول من الجزء الخامس,2,False,301740,
### || الباب الثاني من الجزء الخامس,2,False,314446,
### || الباب الثالث من الجزء الخامس,2,False,321284,
### || الباب الرابع من الجزء الخامس,2,False,323078,
### || الباب الخامس من الجزء الخامس,2,False,327282,
### || الباب السادس من الجزء الخامس,2,False,340870,
### || الباب السابع من الجزء الخامس,2,False,342053,
### || الباب الثامن من الجزء الخامس,2,False,343811,
### || الباب التاسع من الجزء الخامس,2,False,344905,
### || الباب العاشر من الجزء الخامس,2,False,345862,
### | الجزء السادس فيه خطبة هروشيوش ووصف أخبار الرومانيين من وقت انقضاء حروبهم التي سموها الحروب الجوانية إلى وقت انفراد يوليش قيصر بالملك ورجوع سلطان الرومانيين إلى الأملاك الذين قيل لهم القياصرة وفيه من الأبواب ستة,1,False,365581,
### || الباب الأول من الجزء السادس,2,False,365895,
### || الباب الثاني من الجزء السادس,2,False,369881,
### || الباب الثالث من الجزء السادس,2,False,380209,
### || الباب الرابع من الجزء السادس,2,False,395056,
### || الباب الخامس من الجزء السادس,2,False,400742,
### || [225\116] الباب السادس من الجزء السادس,2,False,402893,
### | الجزء السابع فيه أخبار أملاك الرومانيين القياصرة من زمان قيصر اكتبيان الذي في دولته ولد المسيح إلى الزمان الذي كتب فيه هذا الكتاب وما أضيف إليه من بعد من دول القوط بالأندلس إلى دخول طارق عليهم أبوابه أربعة عشر,1,False,405231,
### || الباب الأول من الجزء السابع,2,False,405441,
### || الباب الثاني من الجزء السابع,2,False,406347,
### || [228\117] الباب الثالث من الجزء السابع,2,False,408604,
### || [229\118] الباب الرابع من الجزء السابع,2,False,410481,
### || [231\119] الباب الخامس من الجزء السابع,2,False,414000,
### || الباب السادس من الجزء السابع,2,False,416145,
### || الباب السابع من الجزء السابع,2,False,420524,
### || الباب الثامن من الجزء السابع,2,False,425115,
### || الباب التاسع من الجزء السابع,2,False,426165,
### || الباب العاشر من الجزء السابع,2,False,430232,
### || الباب الحادي عشر من الجزء السابع,2,False,432855,
### || الباب الثاني عشر من الجزء السابع,2,False,435819,
### || الباب الثالث عشر من الجزء السابع,2,False,446116,
