heading,level,bio,offset,label
### | [List of Contents],1,False,1,
### || ... ... ... وصف الأخبار والحروب والأعمار من وقت غلبة ... ... ... إلى انقضاء خبر الإسكندر وحروب. قواده بعده أبوابه ...,2,False,933,
### || الجزء الرابع (78) فيه الأخبار من وقت انقضاء ... ... ... الإسكندر إلى ... خراب ... بإفريقية وهو مقسوم على عشرة أبواب,2,False,1705,
### || الجزء الخامس فيه الأخبار من وقت خرا ب قرطاجنة إلى وقت انقضاء حروب الرومانيين التي قيل لها الحروب الجوانية وهو مقسوم على عشرة أبواب.,2,False,3074,
### || الجزء السادس (111) من وقت انقضاء الحروب الجوانية إلى وقت ولاية قيصر الذي انفرد بسلطانهم وكانوا قبله لا أمير لهم وإنما كان ولاة أمرهم الوزراء وكانوا جماعة يدبرون المملكة وأبواب هذا الجزء ستة ms003,2,False,4902,
### || الجزء السابع (121) فيه الأخبار من لدن ولاية قيصر إلى زماننا الذي نحن فيه وهو مقسوم على أربعة عشر بابا,2,False,6000,
### | بسم الله الرحمن الرحيم عونك يا رب ترجمة خطبة هروشيوش القس التي أرسل بها إلى أغشتين الجاثليق وهي الباب الأول من هذا الجزء,1,False,8902,
### || الباب الثاني من الجزء الأول,2,False,14076,
### || الباب الثالث من الجزء الأول,2,False,27266,
### || الباب الرابع من الجزء الأول على ما وجدت في دواوين يوليش قيصر,2,False,28865,
### || الباب الخامس من الجزء الأول فيه خبر آدم وعدة سني الدنيا على ما قاله السبعون المترجم والأعمار من آدم إلى نوح النبي,2,False,39496,
### || الباب السادس من الجزء الأول فيه سنو الدنيا من زمن نوح إلى زمن إبراهيم بن تارح الخليل وفيه خبر الطوفان,2,False,43319,
### || الباب السابع من الجزء الأول فيه خبر قوم لوط وخبر يوسف بن يعقوب وغيره من الأنبياء وعدة السنين إلى دخول بني إسرائيل في مصر,2,False,52855,
### || الباب الثامن من الجزء الأول فيه خبر موسى النبي وذكر فلاسفة كانوا في ذلك العصر وعدة السنين إلى وفاة ... بن نون النبي,2,False,60865,
### || الباب التاسع من الجزء الأول فيه خبر غثنيال بن جنزا وأخبار حكام بني إسرائيل إلى زمان طالوت وهو أول ملوكهم,2,False,67382,
### || الباب العاشر من الجزء الأول فيه خبر بني إسرائيل من عهد شموال النبي إلى ولاية منشا بن حزقيا ... ...,2,False,92402,
### | تم الجزء الأول من هذا الكتاب والحمد الله تعالى يتلوه الجزء الثاني منه فيه الأخبار وعدة السنين من وقت بنيان مدينة رومة إلى وقت غلبة الغاللين عليها وانتهابهم إياها وهو مقسوم على عشرة أبواب.,1,False,142535,
### || [86\44] الباب الأول من الجزء ...,2,False,142722,
### || الباب الثاني من الجزء الثاني,2,False,147182,
### || الباب الثالث من الجزء الثاني,2,False,150716,
### || [الباب الخامس من الجزء الثاني],2,False,150887,
### || الباب السادس من الجزء الثاني,2,False,154240,
### || الباب السابع من الجزء الثاني,2,False,158318,
